Road_Type,Road_Condition,Vehicle_Speed,Speed_Limit,Vehicle_Type,Temperature,Humidity,Visibility,T_Junction,Crossing,Stop_Signal,Railway_Crossing,Speed_Breaker,Severity
National Highway,Dry Road,67,80,Car,35,95,76,0,0,1,1,0,Low
State Highway,Wet Road,37,70,Bike,29,72,74,0,0,0,0,0,Medium
State Highway,Dry Road,62,63,Truck,22,54,53,1,0,0,0,0,High
State Highway,Dry Road,71,88,Truck,23,62,54,0,0,0,0,0,Low
Urban Roads,Dry Road,43,60,Truck,31,62,70,1,1,0,0,0,Medium
State Highway,Dry Road,48,79,Truck,40,97,70,0,0,0,0,0,Low
State Highway,Dry Road,71,82,Car,22,32,79,0,0,0,0,0,Low
Service Roads,Damaged Road,54,32,Car,37,64,100,0,0,0,0,0,Medium
Expressway,Dry Road,90,115,Bike,18,83,100,0,1,0,0,0,Low
Service Roads,Dry Road,27,41,Car,26,53,57,0,1,0,0,0,Medium
Rural Roads,Wet Road,38,47,Car,22,53,90,0,1,1,0,1,Low
National Highway,Dry Road,70,89,Bike,34,49,38,0,0,0,0,0,Low
Service Roads,Dry Road,35,40,Car,20,51,75,0,0,0,1,0,Medium
Expressway,Wet Road,116,115,Bike,20,75,100,0,0,0,1,1,Medium
Expressway,Dry Road,105,111,Bus,25,66,71,0,1,0,0,0,Low
Urban Roads,Wet Road,59,59,Car,26,70,100,0,1,0,0,0,High
Service Roads,Damaged Road,20,44,Car,27,65,100,0,1,0,0,1,High
Urban Roads,Wet Road,20,37,Bike,39,71,66,0,0,1,0,0,Low
Rural Roads,Dry Road,53,46,Bike,23,66,65,1,1,0,0,0,High
State Highway,Dry Road,61,73,Car,22,56,82,0,1,0,0,0,Low
Service Roads,Dry Road,20,31,Bus,20,29,100,0,1,0,0,0,Low
Urban Roads,Damaged Road,49,53,Truck,35,74,79,1,0,0,0,0,Medium
National Highway,Dry Road,48,70,Bike,28,66,96,0,0,0,0,1,Low
Service Roads,Dry Road,20,32,Car,16,81,76,0,0,0,0,0,Low
Service Roads,Dry Road,21,28,Car,27,20,73,1,0,0,0,0,Low
National Highway,Dry Road,69,82,Bike,21,100,76,0,1,0,0,0,Low
Expressway,Dry Road,81,91,Car,25,50,77,1,0,0,0,0,Low
Service Roads,Dry Road,20,24,Bike,27,36,59,0,0,0,0,0,Low
Urban Roads,Wet Road,45,38,Car,20,54,84,0,0,0,0,1,Medium
Rural Roads,Damaged Road,38,49,Car,39,43,87,0,1,0,0,0,Low
State Highway,Dry Road,85,90,Truck,19,83,71,1,0,0,0,0,Medium
Service Roads,Dry Road,20,23,Car,44,23,100,0,1,0,0,1,Low
Rural Roads,Wet Road,52,56,Bike,31,57,73,0,0,0,0,0,Medium
Urban Roads,Wet Road,52,58,Bike,32,54,59,0,1,0,0,0,High
Urban Roads,Dry Road,64,55,Car,33,70,94,0,1,0,1,0,High
Urban Roads,Dry Road,23,37,Car,30,75,60,0,0,0,0,0,Low
Urban Roads,Dry Road,21,40,Car,38,46,100,0,1,1,0,0,Medium
National Highway,Dry Road,63,80,Bike,30,100,73,0,1,0,0,0,Medium
Rural Roads,Dry Road,40,55,Truck,44,79,63,1,1,0,0,0,High
Service Roads,Dry Road,23,27,Car,34,68,48,1,1,1,0,0,Medium
National Highway,Dry Road,77,87,Car,16,73,79,0,0,1,0,0,Low
State Highway,Wet Road,56,63,Bike,35,65,75,0,1,0,0,0,Low
Rural Roads,Damaged Road,46,48,Car,26,90,57,0,0,0,0,0,Medium
Rural Roads,Dry Road,49,51,Truck,37,66,96,1,1,1,0,1,Medium
Service Roads,Dry Road,56,24,Bike,27,56,100,0,1,0,0,0,Medium
Urban Roads,Dry Road,24,44,Bike,23,64,79,0,1,0,1,1,Medium
State Highway,Damaged Road,79,72,Car,28,64,88,0,0,1,0,1,Medium
Expressway,Dry Road,112,120,Bus,45,52,64,0,0,0,0,0,High
Rural Roads,Dry Road,83,69,Car,25,48,84,1,0,0,0,1,Medium
Rural Roads,Damaged Road,47,63,Bike,26,70,81,0,0,0,0,0,Medium
National Highway,Wet Road,67,75,Bike,44,54,79,1,0,0,0,1,Medium
Urban Roads,Dry Road,45,39,Car,44,76,67,1,1,1,0,1,High
Urban Roads,Dry Road,61,50,Bike,39,92,87,0,1,1,0,1,Medium
National Highway,Dry Road,84,74,Car,23,72,67,1,0,0,0,0,Medium
National Highway,Wet Road,58,88,Car,35,77,100,1,0,0,0,1,Low
State Highway,Wet Road,76,75,Truck,31,56,78,0,1,0,0,0,Medium
Urban Roads,Wet Road,45,60,Car,33,96,73,0,0,0,1,0,Medium
Rural Roads,Damaged Road,43,41,Truck,25,44,89,0,1,0,0,1,High
Urban Roads,Dry Road,48,43,Car,29,100,53,0,0,1,0,1,Medium
Expressway,Dry Road,71,100,Car,41,63,97,1,0,1,0,0,Low
Urban Roads,Dry Road,37,31,Truck,40,68,89,1,0,0,0,1,Medium
State Highway,Dry Road,76,86,Car,18,67,61,0,1,0,0,0,Low
Urban Roads,Dry Road,38,50,Car,10,33,90,0,1,1,0,0,Low
State Highway,Dry Road,73,82,Truck,20,95,92,0,0,0,0,0,Medium
Rural Roads,Wet Road,32,53,Car,27,100,87,1,0,0,0,1,Low
Expressway,Dry Road,105,116,Bike,24,78,82,1,1,0,0,0,Medium
State Highway,Dry Road,86,74,Car,31,100,61,0,1,0,0,0,Medium
Rural Roads,Dry Road,53,65,Bus,33,75,63,0,0,0,0,0,Medium
Rural Roads,Dry Road,52,58,Bike,30,77,54,0,0,0,0,1,Low
National Highway,Dry Road,71,87,Car,42,40,45,1,0,1,0,0,Medium
National Highway,Damaged Road,85,77,Bike,29,61,92,0,0,1,0,0,Medium
Urban Roads,Wet Road,41,56,Bus,33,74,80,0,0,1,0,1,Low
Expressway,Dry Road,98,100,Truck,27,80,18,0,0,0,0,1,Medium
Urban Roads,Dry Road,20,32,Bike,39,55,81,1,0,0,0,0,Medium
State Highway,Wet Road,77,70,Bike,26,33,66,0,1,0,0,0,Medium
State Highway,Wet Road,64,77,Bus,45,72,83,0,1,0,0,0,Low
Service Roads,Damaged Road,46,40,Truck,30,79,73,0,0,0,0,1,High
Expressway,Dry Road,119,118,Car,32,84,17,0,1,0,0,0,Medium
State Highway,Dry Road,82,81,Bike,21,52,100,1,0,0,0,1,Medium
Rural Roads,Damaged Road,75,44,Car,29,69,96,0,1,0,0,0,Medium
State Highway,Dry Road,91,74,Car,20,71,59,1,0,1,0,1,Medium
Expressway,Dry Road,121,108,Bike,33,60,94,0,1,1,0,0,Medium
State Highway,Dry Road,58,67,Bike,31,61,75,0,0,0,0,0,Low
Service Roads,Dry Road,32,47,Truck,19,97,95,0,0,0,0,0,Low
Service Roads,Damaged Road,20,29,Truck,16,85,100,0,1,1,0,1,High
National Highway,Wet Road,79,76,Bike,32,67,73,0,1,0,0,0,High
Service Roads,Wet Road,20,29,Bike,21,68,100,0,0,0,0,0,Low
Expressway,Dry Road,91,92,Car,22,67,48,1,0,0,0,1,Medium
National Highway,Wet Road,80,86,Bus,40,67,66,1,0,1,0,0,Medium
Urban Roads,Damaged Road,20,33,Bike,43,40,61,1,0,1,0,1,Medium
National Highway,Damaged Road,77,100,Car,45,41,81,1,1,0,0,0,Medium
Urban Roads,Dry Road,62,53,Car,45,53,47,0,0,1,0,1,Medium
Service Roads,Damaged Road,70,50,Bike,25,76,100,0,0,0,0,0,Medium
Rural Roads,Dry Road,34,49,Bike,20,65,59,0,1,0,0,1,Low
National Highway,Dry Road,35,73,Bike,32,89,50,1,1,0,0,0,Low
Urban Roads,Dry Road,47,43,Truck,30,75,56,0,0,0,0,1,High
Urban Roads,Wet Road,70,60,Bus,34,43,68,1,1,0,0,1,High
National Highway,Dry Road,75,81,Truck,27,67,71,1,1,0,0,0,Low
Service Roads,Dry Road,20,46,Bike,34,42,31,0,0,1,0,1,Medium
Service Roads,Dry Road,22,24,Car,29,83,69,1,1,0,0,0,High
National Highway,Dry Road,87,88,Car,22,65,74,0,1,0,0,1,Low
National Highway,Wet Road,108,97,Car,34,65,48,0,0,0,0,0,High
Expressway,Wet Road,81,90,Bike,34,63,84,0,0,0,0,0,Low
National Highway,Dry Road,100,86,Bike,39,60,100,0,1,0,0,1,Medium
State Highway,Dry Road,71,90,Bike,27,57,78,0,1,1,0,0,Low
Service Roads,Dry Road,20,32,Car,37,37,70,0,0,1,0,0,Low
Expressway,Dry Road,74,92,Truck,10,54,82,0,0,0,0,1,Low
State Highway,Wet Road,64,72,Car,34,67,55,0,1,0,0,0,Medium
Rural Roads,Dry Road,58,68,Car,43,37,42,0,1,1,1,1,Medium
National Highway,Dry Road,62,80,Bus,44,78,65,0,1,0,0,0,High
State Highway,Dry Road,77,64,Car,42,65,59,0,1,0,0,0,Medium
Expressway,Dry Road,96,113,Bike,31,38,55,0,1,0,0,0,Low
Rural Roads,Dry Road,80,70,Car,35,84,59,0,0,0,0,1,Medium
Service Roads,Dry Road,30,26,Bike,45,52,93,1,0,0,0,1,Medium
Urban Roads,Dry Road,24,33,Bike,23,44,35,0,0,1,0,0,Low
Urban Roads,Wet Road,50,51,Truck,36,82,63,1,1,1,0,1,High
Service Roads,Wet Road,51,49,Bike,35,78,98,0,0,1,1,0,Medium
Expressway,Dry Road,105,111,Bike,24,54,86,0,1,0,0,0,Medium
Expressway,Wet Road,101,103,Bike,15,80,82,0,1,0,0,0,High
Rural Roads,Dry Road,33,41,Bus,23,53,86,0,1,0,0,0,Low
Urban Roads,Wet Road,30,36,Car,30,49,87,1,0,0,0,0,Medium
Urban Roads,Dry Road,71,51,Car,26,69,93,0,0,1,0,1,Low
Rural Roads,Dry Road,49,64,Bike,45,53,78,0,0,0,0,1,Low
Expressway,Dry Road,97,95,Car,25,48,74,0,0,0,0,0,Low
Service Roads,Wet Road,20,34,Bike,28,50,37,0,0,0,0,1,Low
State Highway,Dry Road,50,73,Car,44,89,86,0,0,1,0,0,Low
State Highway,Dry Road,66,82,Truck,21,67,39,0,1,0,0,1,Medium
Expressway,Dry Road,103,106,Car,25,41,17,0,0,0,0,0,Medium
State Highway,Wet Road,59,76,Bike,33,45,81,1,1,1,0,0,High
State Highway,Wet Road,47,67,Bus,23,60,82,0,1,0,0,0,Medium
Rural Roads,Dry Road,20,60,Car,37,79,69,0,1,1,0,1,Low
Rural Roads,Wet Road,30,60,Car,25,80,49,0,0,0,1,1,Medium
Service Roads,Dry Road,20,28,Car,23,69,97,0,0,1,0,0,Low
State Highway,Dry Road,42,61,Bike,30,43,16,0,1,1,0,0,Medium
Expressway,Wet Road,102,104,Car,45,65,60,1,0,0,0,0,High
Urban Roads,Damaged Road,33,45,Car,22,67,100,0,1,1,0,0,Low
Urban Roads,Dry Road,54,46,Bus,29,61,100,0,1,1,0,1,Medium
Service Roads,Dry Road,45,49,Car,18,83,61,0,0,0,0,1,Low
Urban Roads,Wet Road,52,50,Car,23,52,95,1,1,0,1,0,High
Rural Roads,Wet Road,47,69,Bike,33,100,53,0,1,1,0,1,High
State Highway,Dry Road,46,69,Car,33,61,94,0,0,0,0,0,Low
National Highway,Dry Road,81,87,Truck,27,71,69,1,0,0,0,0,High
Service Roads,Wet Road,20,41,Truck,25,90,74,0,0,0,0,0,Low
State Highway,Dry Road,57,70,Bike,22,97,68,0,0,0,0,0,Low
National Highway,Dry Road,52,73,Bike,32,41,98,0,0,0,0,0,Low
Rural Roads,Dry Road,59,52,Bike,19,67,100,0,0,0,0,1,Medium
Service Roads,Wet Road,33,31,Bus,33,77,97,0,1,0,0,0,Medium
National Highway,Damaged Road,100,93,Car,29,21,91,1,0,0,0,0,High
Urban Roads,Damaged Road,50,44,Bike,26,75,69,1,1,0,1,1,High
Urban Roads,Dry Road,41,55,Car,36,72,100,0,0,0,0,0,Medium
Expressway,Wet Road,80,107,Bus,21,84,100,1,0,0,0,0,Medium
State Highway,Dry Road,69,76,Bike,39,46,79,0,1,0,0,1,Low
National Highway,Wet Road,22,70,Bus,35,51,38,1,0,1,0,0,Medium
Urban Roads,Damaged Road,54,33,Bike,35,66,42,0,0,0,0,1,Medium
National Highway,Dry Road,77,85,Bike,43,52,78,0,0,0,0,0,Low
Urban Roads,Wet Road,29,56,Truck,29,34,90,0,0,0,0,0,Medium
Rural Roads,Dry Road,32,41,Bike,23,71,100,0,0,1,0,0,Low
Rural Roads,Dry Road,31,40,Bike,23,86,75,0,1,1,0,0,Low
National Highway,Wet Road,53,89,Bike,17,70,85,0,0,1,1,1,Low
Service Roads,Dry Road,33,45,Truck,31,97,92,0,0,0,0,0,Medium
Rural Roads,Dry Road,41,48,Bus,30,60,61,1,1,0,0,1,Medium
Expressway,Dry Road,109,110,Car,31,84,80,1,0,1,0,0,Low
Expressway,Dry Road,98,110,Bike,28,62,37,0,0,0,0,0,Low
Urban Roads,Wet Road,68,60,Bus,33,52,100,0,0,0,0,0,Medium
Expressway,Wet Road,94,100,Bus,32,62,91,0,0,0,0,0,Medium
State Highway,Dry Road,61,87,Car,26,42,70,1,0,0,0,0,Low
State Highway,Dry Road,66,83,Bike,28,31,58,0,0,0,0,1,Low
National Highway,Dry Road,73,95,Car,33,55,74,0,1,0,0,0,Low
Expressway,Dry Road,81,95,Truck,42,76,69,0,1,0,0,0,Medium
State Highway,Dry Road,72,82,Car,33,33,52,0,0,0,0,0,Medium
State Highway,Wet Road,53,90,Car,25,49,62,0,0,0,1,0,Medium
State Highway,Dry Road,37,60,Car,31,100,56,0,0,1,0,0,Low
Urban Roads,Dry Road,20,41,Bike,33,55,72,0,0,0,1,1,Low
Rural Roads,Dry Road,54,42,Car,30,71,67,0,1,0,0,1,Medium
State Highway,Dry Road,62,63,Car,29,87,73,0,0,0,0,0,Low
Urban Roads,Damaged Road,20,44,Bike,45,86,79,1,0,1,0,1,Medium
Urban Roads,Dry Road,49,58,Bike,28,61,97,1,1,0,0,0,Medium
Service Roads,Damaged Road,43,37,Truck,31,64,67,0,1,0,0,0,High
State Highway,Damaged Road,62,80,Car,36,84,85,0,0,0,0,0,Low
Expressway,Damaged Road,99,97,Car,36,88,89,1,0,0,0,0,Medium
Urban Roads,Wet Road,20,32,Car,28,49,68,1,1,0,1,1,Low
Service Roads,Dry Road,27,30,Car,23,78,93,0,0,0,0,0,Low
Urban Roads,Dry Road,61,54,Car,28,59,34,0,0,1,0,0,Medium
National Highway,Dry Road,41,96,Truck,31,100,99,0,1,0,0,1,Medium
State Highway,Damaged Road,84,76,Bike,45,72,64,0,0,0,0,0,Medium
National Highway,Wet Road,68,90,Car,38,65,74,0,0,0,0,1,Low
National Highway,Dry Road,94,91,Car,23,51,68,0,0,1,0,0,Medium
Rural Roads,Dry Road,70,64,Bus,28,72,72,0,1,0,0,1,Medium
National Highway,Wet Road,77,70,Car,39,66,78,0,0,0,0,0,Medium
State Highway,Dry Road,62,69,Bus,34,36,29,0,0,0,0,0,Medium
Urban Roads,Dry Road,40,40,Car,32,77,52,0,1,0,0,1,Medium
State Highway,Damaged Road,74,77,Bike,22,47,97,0,0,0,0,1,Medium
State Highway,Dry Road,72,90,Bike,28,65,54,0,1,0,0,0,Low
National Highway,Wet Road,68,80,Truck,22,20,71,0,0,0,0,1,Medium
Urban Roads,Dry Road,20,42,Bike,38,79,89,0,1,0,0,1,Medium
National Highway,Dry Road,71,85,Bike,25,67,100,0,0,0,0,0,Low
State Highway,Dry Road,81,88,Bus,31,60,100,0,0,0,0,0,Low
State Highway,Dry Road,61,71,Bike,43,65,79,1,0,0,0,0,Low
Urban Roads,Wet Road,48,33,Bike,34,42,79,1,0,0,0,0,Medium
State Highway,Dry Road,67,79,Bike,33,84,73,1,0,0,0,0,Low
Expressway,Dry Road,70,105,Bike,31,100,75,0,0,1,0,0,Low
State Highway,Damaged Road,53,83,Bike,27,56,86,1,0,1,1,0,Medium
Rural Roads,Dry Road,21,51,Car,33,100,47,0,0,1,0,1,Low
Urban Roads,Dry Road,51,50,Car,30,52,84,0,1,0,0,1,Low
Service Roads,Wet Road,53,35,Car,32,58,74,0,0,1,0,0,Medium
Service Roads,Wet Road,32,21,Car,26,55,80,0,0,0,0,0,Medium
Service Roads,Dry Road,34,26,Bike,28,52,100,0,1,1,1,0,Medium
Rural Roads,Damaged Road,29,44,Bus,36,25,92,0,0,0,1,0,Medium
State Highway,Damaged Road,74,90,Car,35,67,86,0,0,0,0,0,Low
Rural Roads,Dry Road,52,62,Car,37,62,100,0,0,0,0,0,Low
National Highway,Damaged Road,30,77,Bike,31,73,83,0,1,0,0,0,High
Service Roads,Wet Road,20,43,Bike,32,54,73,0,1,0,0,0,Low
Expressway,Dry Road,89,118,Car,21,78,52,1,1,0,0,0,High
State Highway,Dry Road,73,89,Truck,33,80,69,1,1,0,0,0,High
National Highway,Dry Road,79,87,Car,23,48,85,1,0,1,0,0,Low
Rural Roads,Dry Road,58,47,Bike,22,57,80,0,0,0,1,1,Medium
State Highway,Wet Road,49,60,Bike,44,69,84,1,1,0,0,0,Medium
Service Roads,Damaged Road,32,29,Bus,36,74,100,1,0,0,0,0,High
Service Roads,Dry Road,34,43,Car,29,34,67,1,1,0,1,0,High
Expressway,Damaged Road,116,118,Bike,33,74,64,0,0,0,0,0,Low
Urban Roads,Wet Road,63,59,Bike,26,86,87,0,0,0,0,1,Low
State Highway,Dry Road,61,74,Bike,31,29,83,0,0,0,0,0,Low
National Highway,Damaged Road,77,95,Car,16,42,99,0,0,1,0,0,Low
State Highway,Wet Road,56,69,Bike,19,56,80,0,0,0,1,0,Low
Rural Roads,Damaged Road,34,42,Bus,22,82,95,0,0,0,0,0,Medium
National Highway,Damaged Road,55,77,Car,21,69,76,0,0,0,1,0,Low
State Highway,Damaged Road,79,60,Bike,40,39,91,0,1,0,0,0,Medium
Expressway,Wet Road,68,95,Car,22,85,80,1,0,0,1,0,High
State Highway,Wet Road,69,71,Car,19,85,98,0,0,0,0,0,Low
Urban Roads,Dry Road,63,52,Car,27,76,54,1,0,0,0,0,Medium
Rural Roads,Wet Road,51,59,Bus,36,56,42,1,0,0,0,1,High
Rural Roads,Dry Road,29,41,Car,32,70,70,1,0,0,0,0,Low
Rural Roads,Dry Road,47,54,Car,24,78,100,0,0,1,0,1,Low
Service Roads,Dry Road,22,24,Bike,35,74,50,1,1,0,0,0,Medium
Urban Roads,Dry Road,63,53,Car,45,49,47,1,1,1,0,1,Medium
Expressway,Wet Road,72,91,Car,43,100,59,1,0,1,0,0,Medium
Expressway,Damaged Road,89,99,Car,14,64,61,1,0,0,0,0,Medium
Service Roads,Wet Road,39,49,Car,27,80,81,1,1,0,0,0,Medium
Expressway,Wet Road,140,107,Car,39,37,48,1,1,0,1,1,High
Rural Roads,Dry Road,37,40,Bike,12,60,57,0,0,0,0,1,Medium
Service Roads,Dry Road,27,24,Car,34,100,52,0,1,0,0,0,Medium
Service Roads,Wet Road,57,48,Bike,37,40,76,0,0,0,0,0,High
National Highway,Dry Road,72,84,Bike,27,100,83,0,0,0,0,0,Low
Service Roads,Dry Road,34,21,Car,45,33,37,0,1,0,0,0,Medium
State Highway,Dry Road,75,78,Truck,37,44,76,0,0,0,0,0,Medium
National Highway,Dry Road,90,86,Bike,28,65,46,0,0,0,0,0,Medium
Rural Roads,Damaged Road,71,55,Truck,37,70,100,1,1,1,0,0,Medium
Service Roads,Wet Road,20,29,Car,28,48,73,0,1,1,0,0,Medium
Rural Roads,Dry Road,71,65,Bus,12,52,79,0,1,0,1,1,Low
Rural Roads,Dry Road,33,48,Car,20,52,71,0,0,0,0,1,Low
Expressway,Damaged Road,92,92,Bus,20,60,74,1,1,0,0,0,High
Service Roads,Wet Road,49,43,Bike,36,66,100,0,1,0,0,0,Medium
National Highway,Dry Road,75,79,Bus,33,68,81,0,1,1,0,0,Medium
Service Roads,Dry Road,64,42,Truck,28,48,61,0,0,0,0,1,Medium
National Highway,Dry Road,61,84,Car,42,75,95,1,0,0,0,1,Low
Rural Roads,Damaged Road,41,66,Car,22,76,56,0,0,0,0,1,Low
State Highway,Dry Road,64,83,Bike,34,70,64,0,0,0,0,0,Low
Rural Roads,Dry Road,52,52,Car,17,66,69,0,1,1,0,1,High
Urban Roads,Dry Road,55,56,Truck,32,74,44,0,0,1,0,1,High
Service Roads,Dry Road,20,37,Bike,28,64,72,1,0,0,0,0,Low
Rural Roads,Damaged Road,47,42,Truck,40,72,96,0,0,1,0,1,Medium
Expressway,Wet Road,99,116,Car,42,48,100,0,0,1,1,0,Medium
Rural Roads,Dry Road,71,69,Bike,37,53,77,0,1,0,0,1,Low
Expressway,Dry Road,110,90,Car,30,85,100,0,0,0,0,0,Medium
Expressway,Dry Road,122,103,Car,25,58,81,0,1,0,0,1,Low
Rural Roads,Dry Road,43,48,Bike,34,20,69,0,0,0,1,1,Medium
State Highway,Damaged Road,53,67,Car,28,63,65,0,0,1,0,0,High
Service Roads,Damaged Road,42,37,Car,23,82,62,1,0,1,0,1,High
Service Roads,Dry Road,20,30,Bike,28,60,60,0,0,0,0,0,Low
Expressway,Damaged Road,83,97,Truck,28,63,84,0,1,0,0,0,Medium
State Highway,Dry Road,67,88,Bike,19,55,78,0,1,0,0,1,Low
State Highway,Dry Road,76,86,Bike,23,76,39,1,0,0,0,0,Low
State Highway,Dry Road,63,72,Bike,15,63,58,0,1,0,0,0,Medium
Service Roads,Dry Road,46,21,Truck,36,74,82,0,0,1,1,1,Medium
National Highway,Wet Road,79,89,Bike,18,63,100,0,1,0,0,0,Medium
Service Roads,Dry Road,52,32,Truck,27,60,69,1,0,0,0,0,Medium
Service Roads,Dry Road,42,42,Bike,17,94,51,0,0,0,0,0,Low
State Highway,Dry Road,66,83,Car,36,42,79,0,1,0,0,0,Low
Expressway,Damaged Road,94,114,Car,33,42,88,0,1,0,0,0,Medium
Rural Roads,Dry Road,45,42,Car,39,52,84,0,0,0,0,1,Low
State Highway,Damaged Road,61,84,Bike,24,70,71,0,0,0,0,0,Low
National Highway,Dry Road,59,75,Bike,41,57,82,0,0,0,0,0,Low
Expressway,Dry Road,96,99,Bike,45,23,100,1,0,0,0,0,Medium
Service Roads,Wet Road,20,20,Car,32,34,90,0,0,1,0,0,Medium
State Highway,Wet Road,55,74,Bike,36,78,100,1,0,0,0,1,Medium
Service Roads,Damaged Road,20,35,Bike,35,61,73,1,1,1,0,0,Medium
Urban Roads,Damaged Road,67,60,Bike,26,47,94,0,1,0,0,1,Medium
Urban Roads,Dry Road,34,48,Car,28,32,67,0,1,1,0,0,Low
National Highway,Wet Road,88,93,Car,20,66,15,0,0,0,0,0,Medium
State Highway,Wet Road,62,85,Bike,43,83,70,1,1,0,0,0,Low
State Highway,Dry Road,68,85,Car,21,89,69,0,1,0,0,0,Medium
Urban Roads,Dry Road,26,52,Car,45,83,77,0,1,1,1,1,Low
State Highway,Wet Road,91,89,Bus,32,31,55,0,1,1,0,0,High
Service Roads,Dry Road,51,32,Car,34,66,70,0,0,0,0,0,Low
State Highway,Damaged Road,32,68,Car,23,56,100,0,0,0,0,0,Medium
Rural Roads,Wet Road,53,61,Bike,40,39,47,1,0,0,0,0,Medium
National Highway,Dry Road,64,79,Bike,34,89,65,1,0,0,0,1,Low
Service Roads,Dry Road,30,31,Bike,33,54,75,0,0,0,0,1,Low
Urban Roads,Wet Road,44,55,Car,31,45,70,0,1,1,0,0,Low
State Highway,Wet Road,92,83,Car,27,73,98,0,0,0,0,0,Medium
State Highway,Dry Road,56,72,Truck,31,40,67,0,1,0,0,0,Medium
Urban Roads,Dry Road,20,48,Car,32,100,75,1,0,1,1,1,Low
National Highway,Dry Road,66,95,Car,43,69,100,0,0,0,0,0,Medium
National Highway,Dry Road,88,78,Bike,31,25,52,1,0,1,0,0,Low
